fid,OBJECTID,SOURCE,CONFIANCE,SUPERFICIE,CLASSE,TYPE,PHYSIONOMI,SYS_TROPHI,PARTICULAR,Enregistre,Latitude,Longitude,Type_2,Milieu,surface
299,4635,OCCUP_SOL_BTSL,Excellent,1.589333019481972,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,L-lisiere,45.074990000000000,-73.073660000000004,lisiere,mixte,8373.14858039003
309,24964,OCCUP_SOL_BTSL,Excellent,0.008676964694840,Marécage,Marécage,,,,L-foret_O-lisiere,45.073110000000000,-73.073589999999996,lisiere,mixte,8676.96587148722
309,24964,OCCUP_SOL_BTSL,Excellent,0.008676964694840,Marécage,Marécage,,,,L-lisiere,45.074990000000000,-73.073660000000004,lisiere,mixte,8158.60008155601
219,75655,MH_DETAIL,Excellent,0.038049114599918,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,M-foret,45.021110000000000,-73.077699999999993,foret,foret,10811.6530361031
219,75655,MH_DETAIL,Excellent,0.038049114599918,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,20359.0591314204
220,75639,MH_DETAIL,Excellent,0.223914430239593,Marais,Marais,,,,M-foret,45.021110000000000,-73.077699999999993,foret,foret,37480.2283611381
220,75639,MH_DETAIL,Excellent,0.223914430239593,Marais,Marais,,,,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,53839.4420743049
220,75639,MH_DETAIL,Excellent,0.223914430239593,Marais,Marais,,,,N-lisiere,45.027209999999997,-73.072270000000003,lisiere,foret,17437.3747218381
221,75656,MH_DETAIL,Excellent,0.008029837027945,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,M-foret,45.021110000000000,-73.077699999999993,foret,foret,8029.83691502342
221,75656,MH_DETAIL,Excellent,0.008029837027945,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,5175.05480390442
222,75596,MH_DETAIL,Excellent,0.176942587242378,Eau peu profonde,Eau,,,,M-foret,45.021110000000000,-73.077699999999993,foret,foret,61.8515295833349
222,75596,MH_DETAIL,Excellent,0.176942587242378,Eau peu profonde,Eau,,,,N-lisiere,45.027209999999997,-73.072270000000003,lisiere,foret,81992.5882036955
225,75803,MH_DETAIL,Excellent,0.017800416957701,Marais,Marais,,,,N-lisiere,45.027209999999997,-73.072270000000003,lisiere,foret,12965.9862108005
295,4663,OCCUP_SOL_BTSL,Excellent,0.027038512920036,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,W-lisiere,45.088810000000002,-73.097790000000003,lisiere,foret,8124.63946287427
295,4663,OCCUP_SOL_BTSL,Excellent,0.027038512920036,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,Y-lisiere,45.089779999999998,-73.091390000000004,lisiere,foret,15396.9351608679
304,65827,OCCUP_SOL_BTSL,Excellent,0.049352199921239,Marais,Marais,,,,Z-lisiere,45.090249999999997,-73.084270000000004,lisiere,mixte,39809.3416415238
306,25421,OCCUP_SOL_BTSL,Excellent,0.031244346097111,Marécage,Marécage,,,,Z-lisiere,45.090249999999997,-73.084270000000004,lisiere,mixte,3963.46160947098
