"code","utilisation"
2535,"Épinette blanche associée à des feuillus tolérants / Tourbière"
2536,"Épinette blanche associée à des feuillus indéterminés / Tourbière"
2537,"Érable noir / Tourbière"
2538,"Épinette noire / Tourbière"
2539,"Épinette noire associée à de l'épinette blanche / Tourbière"
2540,"Épinette noire associée à des feuillus intolérants / Tourbière"
2541,"Épinette noire associée à des feuillus tolérants / Tourbière"
2542,"Épinette noire associée à des feuillus indéterminés / Tourbière"
2543,"Épinette noire associée à du mélèze laricin / Tourbière"
2544,"Épinette noire associée à des pins / Tourbière"
2545,"Épinette noire associée à du sapin baumier / Tourbière"
2546,"Épinette noire associée à des sapin baumier et/ou épinette blanche / Tourbière"
2547,"Érable rouge / Tourbière"
2548,"Érable rouge associé à des épinettes noire ou rouge / Tourbière"
2549,"Érable rouge associé à du mélèze laricin / Tourbière"
2550,"Érable rouge associé à des pins / Tourbière"
2551,"Érable rouge associé à de la pruche du Canada / Tourbière"
2552,"Érable rouge associé à des résineux / Tourbière"
2553,"Érable rouge associé à des sapin baumier et/ou épinette blanche / Tourbière"
2554,"Érable rouge associé à du thuyas occidental / Tourbière"
2555,"Épinettes noire ou rouge / Tourbière"
2556,"Épinettes noire ou rouge associés à de l'épinette blanche / Tourbière"
2557,"Épinettes noire ou rouge associés à des feuillus intolérants / Tourbière"
2558,"Épinettes noire ou rouge associés à des feuillus tolérants / Tourbière"
2559,"Épinettes noire ou rouge associés à des feuillus indéterminés / Tourbière"
2560,"Épinettes noire ou rouge associés à du mélèze laricin / Tourbière"
2561,"Épinettes noire ou rouge associés à des pins / Tourbière"
2562,"Épinettes noire ou rouge associés à du sapin baumier / Tourbière"
2563,"Épinettes noire ou rouge associés à des sapin baumier et/ou épinette blanche / Tourbière"
2564,"Épinettes noire ou rouge associés à du thuyas occidental / Tourbière"
2565,"Érables / Tourbière"
2566,"Érables associés à du bouleau jaune / Tourbière"
2567,"Érables associés à des épinettes noire ou rouge / Tourbière"
2568,"Érables associés à du mélèze laricin / Tourbière"
2569,"Érables associés à des pins / Tourbière"
2570,"Érables associés à de la pruche du Canada / Tourbière"
2571,"Érables associés à des résineux / Tourbière"
2572,"Érables associés à des sapin baumier et/ou épinette blanche / Tourbière"
2573,"Érables associés à du thuyas occidental / Tourbière"
2574,"Érable à sucre / Tourbière"
2575,"Érable à sucre associé à du bouleau jaune / Tourbière"
2576,"Érable à sucre associé à des épinettes noire ou rouge / Tourbière"
2577,"Érable à sucre associé à du mélèze laricin / Tourbière"
2578,"Érable à sucre associé à des pins / Tourbière"
2579,"Érable à sucre associé à de la pruche du Canada / Tourbière"
2580,"Érable à sucre associé à des résineux / Tourbière"
2581,"Érable à sucre associé à des sapin baumier et/ou épinette blanche / Tourbière"
2582,"Érable à sucre associé à du thuyas occidental / Tourbière"
2583,"Épinette rouge / Tourbière"
2584,"Épinette rouge associée à du bouleau jaune / Tourbière"
2585,"Épinette rouge associée à des feuillus intolérants / Tourbière"
2586,"Épinette rouge associée à des feuillus tolérants / Tourbière"
2587,"Épinette rouge associée à des feuillus indéterminés / Tourbière"
2588,"Épinette rouge associée à du mélèze laricin / Tourbière"
2589,"Épinette rouge associée à des pins / Tourbière"
2590,"Épinette rouge associée à des sapin baumier et/ou épinette blanche / Tourbière"
2591,"Frêne d'Amérique / Tourbière"
2592,"Frêne d'Amérique associé à des pins / Tourbière"
2593,"Frêne d'Amérique associé à des résineux tolérants / Tourbière"
2594,"Frêne d'Amérique associé à des résineux / Tourbière"
2595,"Feuillus intolérants / Tourbière"
2596,"Feuillus intolérants associés à des épinettes noire ou rouge / Tourbière"
2597,"Feuillus intolérants associés à du mélèze laricin / Tourbière"
2598,"Feuillus intolérants associés à des pins / Tourbière"
2599,"Feuillus intolérants associés à de la pruche du Canada / Tourbière"
2600,"Feuillus intolérants associés à des résineux / Tourbière"
2601,"Feuillus intolérants associés à des sapin baumier et/ou épinette blanche / Tourbière"
2602,"Feuillus intolérants associés à du thuyas occidental / Tourbière"
2603,"Frêne noir / Tourbière"
2604,"Frêne noir associé à des pins / Tourbière"
2605,"Frêne noir associé à des résineux tolérants / Tourbière"
2606,"Frêne noir associé à des résineux / Tourbière"
2607,"Frêne de Pennsylvanie / Tourbière"
2608,"Frêne de Pennsylvanie associé à des pins / Tourbière"
2609,"Frêne de Pennsylvanie associé à des résineux tolérants / Tourbière"
2610,"Frêne de Pennsylvanie associé à des résineux / Tourbière"
2611,"Frênes / Tourbière"
2612,"Frênes associés à des pins / Tourbière"
2613,"Frênes associés à des résineux tolérants / Tourbière"
2614,"Frênes associés à des résineux / Tourbière"
2615,"Feuillus tolérants / Tourbière"
2616,"Feuillus tolérants associés à des épinettes noire ou rouge / Tourbière"
2617,"Feuillus tolérants associés à du mélèze laricin / Tourbière"
2618,"Feuillus tolérants associés à des pins / Tourbière"
2619,"Feuillus tolérants associés à de la pruche du Canada / Tourbière"
2620,"Feuillus tolérants associés à des résineux / Tourbière"
2621,"Feuillus tolérants associés à des sapin baumier et/ou épinette blanche / Tourbière"
2622,"Feuillus tolérants associés à du thuyas occidental / Tourbière"
2623,"Feuillus indéterminés / Tourbière"
2624,"Feuillus indéterminés associés à des épinettes noire ou rouge / Tourbière"
2625,"Feuillus indéterminés associés à du mélèze laricin / Tourbière"
2626,"Feuillus indéterminés associés à des pins / Tourbière"
2627,"Feuillus indéterminés associés à de la pruche du Canada / Tourbière"
2628,"Feuillus indéterminés associés à des sapin baumier et/ou épinette blanche / Tourbière"
2629,"Feuillus indéterminés associés à du thuyas occidental / Tourbière"
